STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1415,ALL_RATE_1415,MAM_COHORT_1415,MAM_RATE_1415,MAS_COHORT_1415,MAS_RATE_1415,MBL_COHORT_1415,MBL_RATE_1415,MHI_COHORT_1415,MHI_RATE_1415,MTR_COHORT_1415,MTR_RATE_1415,MWH_COHORT_1415,MWH_RATE_1415,CWD_COHORT_1415,CWD_RATE_1415,ECD_COHORT_1415,ECD_RATE_1415,LEP_COHORT_1415,LEP_RATE_1415,DATE_CUR
ALABAMA,01,0100005,Albertville City,010000500871,Albertville High Sch,252,91,.,.,1,PS,5,PS,66,85-89,2,PS,178,90-94,13,LT50,95,75-79,9,GE50,26NOV16
ALABAMA,01,0100006,Marshall County,010000600872,Asbury Sch,63,GE95,1,PS,.,.,.,.,12,GE50,.,.,50,GE90,12,GE50,49,GE90,2,PS,26NOV16
ALABAMA,01,0100006,Marshall County,010000600878,Douglas High Sch,114,85-89,1,PS,.,.,2,PS,26,GE80,.,.,85,80-84,12,GE50,76,80-84,2,PS,26NOV16
ALABAMA,01,0100006,Marshall County,010000600883,Kate D Smith DAR High Sch,102,90-94,.,.,.,.,1,PS,3,PS,.,.,98,90-94,13,GE50,41,80-89,.,.,26NOV16
ALABAMA,01,0100006,Marshall County,010000601585,Brindlee Mt High Sch,90,85-89,.,.,.,.,2,PS,.,.,.,.,88,85-89,15,GE50,59,80-89,.,.,26NOV16
ALABAMA,01,0100007,Hoover City,010000700251,Hoover High Sch,676,92,.,.,50,GE90,190,85-89,29,60-79,22,GE80,385,95,43,50-59,152,80-84,8,GE50,26NOV16
ALABAMA,01,0100007,Hoover City,010000700337,Berry Middle Sch,2,PS,.,.,.,.,.,.,.,.,.,.,2,PS,2,PS,.,.,.,.,26NOV16
ALABAMA,01,0100007,Hoover City,010000701456,Spain Park High Sch,397,95,.,.,22,GE80,85,85-89,20,GE80,10,GE50,260,GE95,19,60-79,86,85-89,6,GE50,26NOV16
ALABAMA,01,0100008,Madison City,010000800495,Discovery Middle Sch,1,PS,.,.,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,26NOV16
ALABAMA,01,0100008,Madison City,010000800831,Bob Jones High Sch,460,GE99,4,PS,30,GE80,95,GE95,14,GE50,8,GE50,309,GE99,28,GE80,88,GE95,4,PS,26NOV16
ALABAMA,01,0100008,Madison City,010000801798,Liberty Middle Sch,2,PS,.,.,.,.,.,.,.,.,.,.,2,PS,.,.,1,PS,.,.,26NOV16
ALABAMA,01,0100008,Madison City,010000802198,James Clemens High School,397,95,1,PS,23,GE80,93,90-94,15,GE50,9,GE50,256,GE95,29,60-79,69,90-94,5,PS,26NOV16
ALABAMA,01,0100011,Leeds City,010001102096,Leeds High Sch,116,85-89,2,PS,1,PS,38,GE90,8,GE50,2,PS,65,85-89,19,40-59,62,85-89,.,.,26NOV16
ALABAMA,01,0100012,Boaz City,010001200874,Boaz High Sch,151,90-94,3,PS,2,PS,1,PS,24,GE80,1,PS,120,90-94,12,GE50,75,80-84,6,GE50,26NOV16
ALABAMA,01,0100013,Trussville City,010001301682,Hewitt-Trussville High Sch,318,97,.,.,4,PS,34,GE90,2,PS,5,PS,273,GE95,29,GE80,32,GE90,1,PS,26NOV16
ALABAMA,01,0100030,Alexander City,010003000003,Benjamin Russell High Sch,252,84,.,.,.,.,110,85-89,5,PS,.,.,137,80-84,30,40-59,133,75-79,.,.,26NOV16
ALABAMA,01,0100060,Andalusia City,010006000007,Andalusia High Sch,133,GE95,.,.,2,PS,48,GE90,1,PS,1,PS,81,GE95,9,GE50,58,GE90,.,.,26NOV16
ALABAMA,01,0100090,Anniston City,010009000011,Anniston High Sch,118,85-89,.,.,.,.,111,85-89,3,PS,.,.,4,PS,12,GE50,77,80-84,.,.,26NOV16
ALABAMA,01,0100100,Arab City,010010000028,Arab High Sch,233,95,1,PS,.,.,.,.,2,PS,.,.,230,GE95,13,GE50,59,80-89,.,.,26NOV16
ALABAMA,01,0100120,Athens City,010012001472,Athens High Sch,238,97,1,PS,5,PS,59,GE90,28,GE80,1,PS,144,GE95,10,GE50,95,GE95,3,PS,26NOV16
ALABAMA,01,0100180,Attalla City,010018000033,Etowah High Sch,206,78,.,.,.,.,33,80-89,9,GE50,8,GE50,156,75-79,28,60-79,148,70-74,1,PS,26NOV16
ALABAMA,01,0100185,Saraland City,010018502137,Saraland High Sch,218,92,2,PS,.,.,25,GE80,4,PS,3,PS,184,90-94,17,GE80,86,85-89,.,.,26NOV16
ALABAMA,01,0100188,Chickasaw City,010018802194,Chickasaw City High School,40,80-89,.,.,.,.,27,60-79,.,.,.,.,13,GE50,8,GE50,30,GE80,.,.,26NOV16
ALABAMA,01,0100189,Satsuma City,010018902195,Satsuma City High School,114,90-94,2,PS,.,.,12,GE50,.,.,1,PS,99,90-94,3,PS,44,GE90,.,.,26NOV16
ALABAMA,01,0100190,Alabaster City,010019001183,Thompson High School,412,96,1,PS,5,PS,80,GE95,44,GE90,6,GE50,276,GE95,31,50-59,115,90-94,6,GE50,26NOV16
ALABAMA,01,0100194,Pelham City,010019402399,Pelham High School,275,97,1,PS,8,GE50,31,GE90,51,GE90,.,.,184,GE95,17,60-79,69,GE95,5,PS,26NOV16
ALABAMA,01,0100210,Auburn City,010021000036,Auburn High Sch,603,92,2,PS,55,GE90,183,85-89,11,GE50,7,GE50,345,93,43,70-79,158,80-84,5,PS,26NOV16
ALABAMA,01,0100210,Auburn City,010021000037,Auburn Jr High Sch,8,LT50,.,.,.,.,4,PS,.,.,.,.,4,PS,.,.,2,PS,.,.,26NOV16
ALABAMA,01,0100240,Autauga County,010024000045,Billingsley High Sch,62,90-94,.,.,.,.,10,GE50,.,.,.,.,52,GE90,6,GE50,40,GE90,.,.,26NOV16
ALABAMA,01,0100240,Autauga County,010024000046,Marbury Sch,139,85-89,.,.,.,.,27,GE80,3,PS,1,PS,108,85-89,15,GE50,62,75-79,.,.,26NOV16
ALABAMA,01,0100240,Autauga County,010024000048,Prattville High Sch,475,92,2,PS,17,GE80,108,90-94,15,GE50,7,GE50,326,92,43,70-79,149,80-84,5,PS,26NOV16
ALABAMA,01,0100240,Autauga County,010024001408,Autaugaville Sch,30,GE80,.,.,.,.,30,GE80,.,.,.,.,.,.,1,PS,29,60-79,.,.,26NOV16
ALABAMA,01,0100270,Baldwin County,010027000024,Robertsdale High Sch,344,79,3,PS,3,PS,40,80-89,16,GE80,1,PS,281,75-79,67,60-64,151,70-74,1,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027000100,Fairhope High Sch,346,94,1,PS,2,PS,28,GE80,9,GE50,.,.,306,95,26,60-79,83,85-89,1,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027000641,Gulf Shores High Sch,219,85,.,.,3,PS,4,PS,2,PS,.,.,210,85-89,23,60-79,60,80-89,1,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027001759,Daphne High Sch,311,93,3,PS,10,GE50,72,90-94,14,GE50,6,GE50,206,90-94,33,80-89,84,85-89,2,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027001784,Foley High Sch,450,79,2,PS,2,PS,70,75-79,41,GE90,4,PS,331,77,71,65-69,205,70-74,5,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027001810,Baldwin Co High Sch,299,78,4,PS,1,PS,86,70-74,4,PS,3,PS,201,80-84,53,50-59,142,65-69,.,.,26NOV16
ALABAMA,01,0100270,Baldwin County,010027002073,Spanish Fort High Sch,267,92,1,PS,3,PS,28,60-79,11,GE50,1,PS,223,90-94,30,60-79,36,80-89,.,.,26NOV16
ALABAMA,01,0100300,Barbour County,010030000074,Barbour Co High Sch,65,80-84,.,.,.,.,60,80-89,.,.,.,.,5,PS,7,GE50,65,80-84,.,.,26NOV16
ALABAMA,01,0100330,Bessemer City,010033000087,Jess Lanier High Sch,283,72,.,.,.,.,261,70-74,12,GE50,.,.,10,LT50,41,50-59,218,75-79,2,PS,26NOV16
ALABAMA,01,0100360,Bibb County,010036000092,Bibb Co High Sch,138,80-84,1,PS,.,.,51,80-89,3,PS,.,.,83,80-84,17,60-79,81,75-79,2,PS,26NOV16
ALABAMA,01,0100360,Bibb County,010036000099,West Blocton High Sch,124,85-89,.,.,.,.,20,GE80,5,PS,.,.,99,85-89,24,60-79,72,75-79,1,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000141,Huffman High Sch-Magnet,364,80,1,PS,.,.,344,81,9,GE50,3,PS,7,LT50,62,65-69,268,80-84,2,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000164,Jackson-Olin High Sch,285,76,.,.,.,.,279,75-79,3,PS,1,PS,2,PS,53,60-69,236,75-79,1,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000165,Parker High Sch,252,81,.,.,.,.,248,80-84,2,PS,.,.,2,PS,31,60-69,203,75-79,1,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000176,Ramsay High Sch,181,GE95,.,.,.,.,178,GE95,1,PS,.,.,2,PS,3,PS,97,GE95,.,.,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000192,Wenonah High Sch,206,86,.,.,.,.,204,85-89,2,PS,.,.,.,.,29,GE80,158,80-84,.,.,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000198,Woodlawn High Sch-Magnet,214,72,.,.,.,.,203,70-74,5,PS,2,PS,4,PS,47,60-69,173,70-74,3,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039001296,Adolescent Day Treatment,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,26NOV16
ALABAMA,01,0100390,Birmingham City,010039001468,George Washington Carver High Sch,207,76,.,.,1,PS,186,75-79,19,60-79,.,.,1,PS,26,40-59,151,75-79,9,GE50,26NOV16
ALABAMA,01,0100390,Birmingham City,010039001761,Family Court High Sch,10,LT50,.,.,.,.,10,LT50,.,.,.,.,.,.,3,PS,7,LT50,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000203,Appalachian ?Sch,51,80-89,.,.,.,.,.,.,2,PS,.,.,49,80-89,8,GE50,27,GE80,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000206,Cleveland High Sch,75,90-94,.,.,.,.,.,.,17,GE80,.,.,58,GE90,6,GE50,40,GE90,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000208,Hayden High Sch,157,90-94,.,.,2,PS,3,PS,.,.,.,.,152,90-94,16,GE80,60,GE90,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000209,JB Pennington High Sch,104,80-84,.,.,.,.,1,PS,1,PS,.,.,102,80-84,9,GE50,53,70-79,1,PS,26NOV16
ALABAMA,01,0100420,Blount County,010042000210,Locust Fork High Sch,87,85-89,.,.,.,.,.,.,1,PS,.,.,86,85-89,11,GE50,31,80-89,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000211,Southeastern Elem Sch,51,GE90,.,.,.,.,.,.,10,GE50,.,.,41,GE90,7,GE50,30,GE80,3,PS,26NOV16
ALABAMA,01,0100420,Blount County,010042000213,Susan Moore High Sch,96,90-94,.,.,.,.,.,.,24,GE80,.,.,72,90-94,11,GE50,56,GE90,1,PS,26NOV16
ALABAMA,01,0100450,Brewton City,010045000216,TR Miller High Sch,80,90-94,.,.,.,.,36,80-89,.,.,.,.,44,GE90,8,GE50,30,GE80,.,.,26NOV16
ALABAMA,01,0100480,Bullock County,010048000218,Bullock Co High Sch,121,85-89,.,.,.,.,113,85-89,7,GE50,.,.,1,PS,27,60-79,107,80-84,3,PS,26NOV16
ALABAMA,01,0100510,Butler County,010051000226,Greenville High Sch,154,75-79,.,.,.,.,103,75-79,2,PS,.,.,49,80-89,31,40-49,111,75-79,.,.,26NOV16
ALABAMA,01,0100510,Butler County,010051000229,McKenzie High Sch,29,GE80,.,.,.,.,5,PS,.,.,.,.,24,GE80,2,PS,21,GE80,.,.,26NOV16
ALABAMA,01,0100510,Butler County,010051002144,Georgiana School,52,GE90,.,.,.,.,35,GE90,.,.,1,PS,16,GE80,8,GE50,43,GE90,.,.,26NOV16
ALABAMA,01,0100540,Calhoun County,010054000232,Alexandria High Sch,140,GE95,.,.,2,PS,15,GE50,3,PS,2,PS,118,GE95,13,GE50,69,90-94,.,.,26NOV16
ALABAMA,01,0100540,Calhoun County,010054000240,Ohatchee High Sch,69,90-94,1,PS,1,PS,4,PS,.,.,.,.,63,90-94,8,GE50,40,GE90,.,.,26NOV16
ALABAMA,01,0100540,Calhoun County,010054000243,Saks High Sch,111,90-94,.,.,.,.,39,GE90,11,GE50,4,PS,57,80-89,10,GE50,70,90-94,1,PS,26NOV16
ALABAMA,01,0100540,Calhoun County,010054000247,Weaver High Sch,89,90-94,.,.,.,.,15,GE50,3,PS,3,PS,68,90-94,12,GE50,49,80-89,.,.,26NOV16
ALABAMA,01,0100540,Calhoun County,010054000250,White Plains High Sch,128,GE95,1,PS,.,.,8,GE50,5,PS,.,.,114,GE95,12,GE50,42,GE90,.,.,26NOV16
ALABAMA,01,0100540,Calhoun County,010054001488,Pleasant Valley High Sch,78,90-94,.,.,.,.,2,PS,.,.,1,PS,75,GE95,10,GE50,35,GE90,.,.,26NOV16
ALABAMA,01,0100540,Calhoun County,010054001489,Wellborn High Sch,103,80-84,.,.,.,.,19,60-79,1,PS,.,.,83,80-84,11,GE50,74,75-79,.,.,26NOV16
ALABAMA,01,0100600,Chambers County,010060000263,Lafayette High Sch,68,85-89,.,.,.,.,55,GE90,.,.,.,.,13,GE50,11,GE50,58,GE90,.,.,26NOV16
ALABAMA,01,0100600,Chambers County,010060000271,Valley High Sch,209,84,1,PS,.,.,79,85-89,.,.,4,PS,125,80-84,21,60-79,110,75-79,.,.,26NOV16
ALABAMA,01,0100630,Cherokee County,010063000274,Cedar Bluff High Sch,34,GE90,.,.,1,PS,3,PS,.,.,.,.,30,GE80,2,PS,22,GE80,.,.,26NOV16
ALABAMA,01,0100630,Cherokee County,010063000278,Cherokee Co High Sch,107,85-89,.,.,.,.,11,GE50,3,PS,1,PS,92,85-89,13,GE50,55,80-89,1,PS,26NOV16
ALABAMA,01,0100630,Cherokee County,010063000279,Gaylesville High Sch,36,60-69,3,PS,.,.,.,.,.,.,.,.,33,60-69,5,PS,29,60-79,.,.,26NOV16
ALABAMA,01,0100630,Cherokee County,010063000282,Sand Rock High Sch,68,90-94,7,GE50,1,PS,1,PS,1,PS,.,.,58,GE90,4,PS,38,80-89,.,.,26NOV16
ALABAMA,01,0100630,Cherokee County,010063000283,Spring Garden High Sch,35,GE90,1,PS,.,.,.,.,.,.,.,.,34,GE90,4,PS,14,GE50,.,.,26NOV16
ALABAMA,01,0100660,Chilton County,010066000261,Isabella High Sch,46,GE90,.,.,.,.,3,PS,4,PS,1,PS,38,GE90,4,PS,24,GE80,2,PS,26NOV16
ALABAMA,01,0100660,Chilton County,010066000262,Jemison High Sch,140,85-89,.,.,.,.,18,60-79,17,GE80,.,.,105,85-89,10,GE50,73,80-84,3,PS,26NOV16
ALABAMA,01,0100660,Chilton County,010066000265,Maplesville High Sch,34,GE90,.,.,.,.,4,PS,.,.,.,.,30,GE80,4,PS,19,GE80,.,.,26NOV16
ALABAMA,01,0100660,Chilton County,010066000270,Thorsby High Sch,73,85-89,.,.,.,.,11,GE50,6,GE50,.,.,56,80-89,8,GE50,39,80-89,1,PS,26NOV16
ALABAMA,01,0100660,Chilton County,010066000288,Verbena High Sch,56,80-89,.,.,.,.,7,GE50,5,PS,.,.,44,80-89,7,GE50,38,80-89,1,PS,26NOV16
ALABAMA,01,0100660,Chilton County,010066001491,Chilton Co High Sch,168,85-89,1,PS,2,PS,32,70-79,9,GE50,.,.,124,85-89,19,60-79,87,80-84,3,PS,26NOV16
ALABAMA,01,0100690,Choctaw County,010069000291,Choctaw Co High Sch,53,80-89,1,PS,.,.,42,GE90,.,.,.,.,10,GE50,3,PS,41,80-89,.,.,26NOV16
ALABAMA,01,0100690,Choctaw County,010069000297,Southern Choctaw High Sch,71,90-94,.,.,.,.,38,GE90,.,.,.,.,33,80-89,4,PS,55,GE90,.,.,26NOV16
ALABAMA,01,0100720,Clarke County,010072000298,Clarke Co High Sch,113,GE95,.,.,.,.,79,GE95,.,.,1,PS,33,GE90,9,GE50,62,GE95,.,.,26NOV16
ALABAMA,01,0100720,Clarke County,010072001493,Jackson High Sch,161,90-94,1,PS,.,.,113,90-94,.,.,2,PS,45,80-89,10,GE50,69,80-84,.,.,26NOV16
ALABAMA,01,0100750,Clay County,010075002205,Central Clay County Jr High Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,26NOV16
ALABAMA,01,0100750,Clay County,010075002210,Future Clay Co High Sch,153,90-94,1,PS,.,.,30,GE80,5,PS,1,PS,116,GE95,17,GE80,81,90-94,2,PS,26NOV16
ALABAMA,01,0100780,Cleburne County,010078000318,Cleburne Co High Sch,127,GE95,.,.,1,PS,8,GE50,7,GE50,.,.,111,GE95,11,GE50,77,GE95,1,PS,26NOV16
ALABAMA,01,0100780,Cleburne County,010078000321,Ranburne High Sch,74,GE95,.,.,.,.,.,.,1,PS,.,.,73,GE95,3,PS,40,GE90,.,.,26NOV16
ALABAMA,01,0100810,Coffee County,010081000323,Kinston Sch,43,GE90,3,PS,.,.,1,PS,.,.,.,.,39,GE90,3,PS,17,GE80,.,.,26NOV16
ALABAMA,01,0100810,Coffee County,010081000327,Zion Chapel High Sch,55,GE90,1,PS,.,.,1,PS,.,.,.,.,53,GE90,3,PS,25,GE80,.,.,26NOV16
ALABAMA,01,0100810,Coffee County,010081001494,New Brockton High Sch,53,GE90,.,.,.,.,14,GE50,1,PS,.,.,38,GE90,3,PS,36,GE90,1,PS,26NOV16
ALABAMA,01,0100840,Colbert County,010084000333,Cherokee High Sch,46,GE90,.,.,.,.,4,PS,2,PS,.,.,40,GE90,3,PS,25,GE80,.,.,26NOV16
ALABAMA,01,0100840,Colbert County,010084000334,Colbert Co High Sch,87,80-84,.,.,.,.,28,GE80,5,PS,2,PS,52,80-89,16,60-79,52,70-79,.,.,26NOV16
ALABAMA,01,0100840,Colbert County,010084000335,Colbert Heights High Sch,85,85-89,.,.,1,PS,1,PS,.,.,.,.,83,85-89,10,GE50,47,80-89,.,.,26NOV16
ALABAMA,01,0100870,Conecuh County,010087001766,Hillcrest High Sch,91,80-84,.,.,.,.,79,85-89,.,.,.,.,12,GE50,10,GE50,66,80-84,.,.,26NOV16
ALABAMA,01,0100900,Coosa County,010090001749,Central High Sch,90,80-84,1,PS,.,.,46,80-89,.,.,1,PS,42,70-79,11,GE50,60,70-79,.,.,26NOV16
ALABAMA,01,0100930,Covington County,010093000360,Florala High Sch,36,GE90,.,.,.,.,6,GE50,.,.,.,.,30,GE80,1,PS,17,GE80,.,.,26NOV16
ALABAMA,01,0100930,Covington County,010093000361,Pleasant Home Sch,45,GE90,.,.,.,.,1,PS,.,.,.,.,44,GE90,6,GE50,26,GE80,.,.,26NOV16
ALABAMA,01,0100930,Covington County,010093000362,Red Level High Sch,52,80-89,.,.,1,PS,7,GE50,.,.,.,.,44,80-89,10,GE50,30,GE80,.,.,26NOV16
ALABAMA,01,0100930,Covington County,010093000363,Straughn High Sch,104,GE95,.,.,1,PS,6,GE50,1,PS,.,.,96,GE95,13,GE50,44,GE90,.,.,26NOV16
ALABAMA,01,0100960,Crenshaw County,010096000365,Brantley High Sch,56,GE90,1,PS,.,.,19,GE80,3,PS,.,.,33,GE90,2,PS,29,GE80,.,.,26NOV16
ALABAMA,01,0100960,Crenshaw County,010096000367,Highland Home High Sch,87,90-94,.,.,.,.,30,GE80,2,PS,.,.,55,80-89,8,GE50,56,80-89,2,PS,26NOV16
ALABAMA,01,0100960,Crenshaw County,010096000368,Luverne High Sch,48,GE90,.,.,.,.,22,GE80,.,.,1,PS,25,GE80,4,PS,29,GE80,.,.,26NOV16
ALABAMA,01,0100990,Cullman City,010099000370,Cullman High Sch,205,94,.,.,5,PS,2,PS,13,GE50,.,.,185,90-94,7,GE50,57,80-89,2,PS,26NOV16
ALABAMA,01,0101020,Cullman County,010102000374,Cold Springs High Sch,75,85-89,.,.,.,.,.,.,.,.,.,.,75,85-89,9,LT50,33,80-89,.,.,26NOV16
ALABAMA,01,0101020,Cullman County,010102000377,Fairview High Sch,147,GE95,.,.,.,.,2,PS,8,GE50,1,PS,136,GE95,14,GE50,74,GE95,4,PS,26NOV16
ALABAMA,01,0101020,Cullman County,010102000379,Good Hope High Sch,114,85-89,1,PS,.,.,3,PS,3,PS,.,.,107,85-89,8,GE50,58,80-89,.,.,26NOV16
ALABAMA,01,0101020,Cullman County,010102000380,Hanceville High Sch,93,85-89,.,.,.,.,8,GE50,7,GE50,.,.,78,85-89,12,GE50,59,80-89,1,PS,26NOV16
ALABAMA,01,0101020,Cullman County,010102000381,Holly Pond High Sch,77,90-94,.,.,.,.,.,.,3,PS,1,PS,73,90-94,9,GE50,44,80-89,.,.,26NOV16
ALABAMA,01,0101020,Cullman County,010102000385,Vinemont High Sch,98,90-94,1,PS,.,.,.,.,7,GE50,.,.,90,90-94,17,60-79,44,GE90,3,PS,26NOV16
ALABAMA,01,0101020,Cullman County,010102000387,West Point High Sch,131,GE95,1,PS,1,PS,2,PS,4,PS,.,.,123,GE95,8,GE50,49,GE90,.,.,26NOV16
ALABAMA,01,0101020,Cullman County,010102000413,Good Hope Middle Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,26NOV16
ALABAMA,01,0101020,Cullman County,010102001497,Cullman Child Dev Ctr,13,LT50,.,.,.,.,.,.,.,.,.,.,13,LT50,12,LT50,9,LT50,.,.,26NOV16
ALABAMA,01,0101050,Dale County,010105000388,Ariton Sch,55,GE90,1,PS,.,.,8,GE50,1,PS,.,.,45,GE90,2,PS,20,GE80,.,.,26NOV16
ALABAMA,01,0101050,Dale County,010105000389,Dale Co High Sch,90,85-89,.,.,1,PS,13,GE50,1,PS,1,PS,74,85-89,9,GE50,56,80-89,.,.,26NOV16
ALABAMA,01,0101050,Dale County,010105000390,George W Long High Sch,55,GE90,.,.,.,.,5,PS,1,PS,.,.,49,GE90,5,PS,18,GE80,.,.,26NOV16
ALABAMA,01,0101080,Daleville City,010108000394,Daleville High Sch,108,85-89,.,.,5,PS,46,GE90,6,GE50,.,.,51,80-89,12,GE50,68,90-94,.,.,26NOV16
ALABAMA,01,0101110,Dallas County,010111000397,Dallas Co High Sch,131,90-94,.,.,.,.,81,GE95,.,.,1,PS,49,80-89,20,60-79,106,90-94,.,.,26NOV16
ALABAMA,01,0101110,Dallas County,010111000402,Keith Middle-High Sch,46,80-89,.,.,.,.,46,80-89,.,.,.,.,.,.,9,GE50,44,80-89,.,.,26NOV16
ALABAMA,01,0101110,Dallas County,010111000406,Southside High Sch,98,90-94,.,.,.,.,96,90-94,.,.,.,.,2,PS,11,GE50,89,90-94,.,.,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000411,Collinsville High Sch,60,80-89,10,GE50,.,.,4,PS,22,GE80,.,.,24,60-79,6,GE50,54,80-89,4,PS,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000415,Fyffe High Sch,71,80-84,18,GE80,.,.,.,.,3,PS,.,.,50,70-79,9,GE50,44,70-79,.,.,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000416,Geraldine Sch,108,GE95,15,GE50,.,.,1,PS,13,GE50,.,.,79,GE95,10,GE50,57,GE90,2,PS,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000419,Ider Sch,63,90-94,11,GE50,.,.,.,.,2,PS,.,.,50,80-89,7,GE50,30,GE80,.,.,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000422,Plainview Sch,81,90-94,5,PS,.,.,1,PS,9,GE50,.,.,66,90-94,8,GE50,40,80-89,1,PS,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000424,Sylvania Sch,74,85-89,9,GE50,.,.,.,.,6,GE50,.,.,59,80-89,4,PS,45,80-89,1,PS,26NOV16
ALABAMA,01,0101140,Dekalb County,010114000425,Valley Head High Sch,46,80-89,4,PS,.,.,.,.,5,PS,1,PS,36,80-89,8,GE50,38,80-89,1,PS,26NOV16
ALABAMA,01,0101140,Dekalb County,010114001860,Crossville High Sch,117,85-89,10,GE50,.,.,.,.,54,GE90,1,PS,52,80-89,10,GE50,97,90-94,6,GE50,26NOV16
ALABAMA,01,0101170,Decatur City,010117000426,Austin High Sch,360,93,.,.,5,PS,122,85-89,54,GE90,5,PS,174,90-94,43,80-89,164,90-94,9,GE50,26NOV16
ALABAMA,01,0101170,Decatur City,010117000429,Decatur High Sch,255,87,1,PS,1,PS,81,80-84,37,80-89,4,PS,131,85-89,18,60-79,142,85-89,9,GE50,26NOV16
ALABAMA,01,0101170,Decatur City,010117002175,Decatur High Dev,6,LT50,.,.,.,.,2,PS,1,PS,.,.,3,PS,5,PS,4,PS,.,.,26NOV16
ALABAMA,01,0101200,Demopolis City,010120000148,Demopolis High Sch,140,GE95,.,.,1,PS,66,GE95,3,PS,.,.,70,GE95,6,GE50,76,GE95,1,PS,26NOV16
ALABAMA,01,0101230,Dothan City,010123000445,Dothan High Sch,313,94,2,PS,1,PS,170,90-94,6,GE50,1,PS,133,GE95,32,GE90,190,90-94,.,.,26NOV16
ALABAMA,01,0101230,Dothan City,010123001501,Northview High Sch,285,89,.,.,6,GE50,133,85-89,12,GE50,1,PS,133,90-94,31,70-79,146,85-89,2,PS,26NOV16
ALABAMA,01,0101260,Elba City,010126000461,Elba High Sch,54,GE90,1,PS,.,.,28,GE80,2,PS,.,.,23,GE80,5,PS,32,GE90,1,PS,26NOV16
ALABAMA,01,0101290,Elmore County,010129000463,Elmore Co High Sch,132,90-94,1,PS,.,.,17,GE80,1,PS,.,.,113,90-94,14,GE50,57,GE90,1,PS,26NOV16
ALABAMA,01,0101290,Elmore County,010129000465,Holtville High Sch,123,85-89,.,.,.,.,12,GE50,1,PS,2,PS,108,85-89,12,GE50,56,70-79,.,.,26NOV16
ALABAMA,01,0101290,Elmore County,010129000468,Stanhope Elmore High Sch,277,92,.,.,6,GE50,108,90-94,11,GE50,3,PS,149,90-94,30,GE80,144,90-94,5,PS,26NOV16
ALABAMA,01,0101290,Elmore County,010129000471,Wetumpka High Sch,305,90,1,PS,4,PS,106,85-89,5,PS,7,GE50,182,90-94,25,40-59,118,80-84,2,PS,26NOV16
ALABAMA,01,0101320,Enterprise City,010132000475,Dauphin Jr High Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,.,.,26NOV16
ALABAMA,01,0101320,Enterprise City,010132000476,Enterprise High Sch,546,96,3,PS,16,GE80,110,90-94,45,GE90,13,GE50,359,97,36,GE90,190,90-94,8,GE50,26NOV16
ALABAMA,01,0101350,Escambia County,010135000484,Escambia Co High Sch,150,80-84,20,60-79,1,PS,101,85-89,1,PS,1,PS,26,60-79,23,60-79,126,75-79,.,.,26NOV16
ALABAMA,01,0101350,Escambia County,010135000487,Flomaton High Sch,70,80-84,5,PS,.,.,8,GE50,2,PS,.,.,55,80-89,9,GE50,32,70-79,.,.,26NOV16
ALABAMA,01,0101350,Escambia County,010135000492,W S Neal High Sch,94,80-84,1,PS,.,.,23,GE80,2,PS,.,.,68,80-84,10,GE50,61,75-79,1,PS,26NOV16
ALABAMA,01,0101380,Etowah County,010138000496,Gaston High Sch,45,GE90,.,.,.,.,6,GE50,.,.,3,PS,36,GE90,9,GE50,24,GE80,.,.,26NOV16
ALABAMA,01,0101380,Etowah County,010138000498,Glencoe High Sch,81,GE95,.,.,.,.,.,.,.,.,.,.,81,GE95,3,PS,27,GE80,.,.,26NOV16
