STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ALABAMA,01,0100005,Albertville City,010000500871,Albertville High Sch,248,94,1,PS,1,PS,4,PS,64,GE95,.,.,178,90-94,11,GE50,117,90-94,13,GE50,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000600872,Asbury Sch,65,GE95,.,.,.,.,.,.,10,GE50,1,PS,54,GE90,3,PS,54,GE90,1,PS,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000600878,Douglas High Sch,127,85-89,.,.,.,.,3,PS,24,GE80,.,.,100,80-84,18,60-79,82,80-84,2,PS,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000600883,Kate D Smith DAR High Sch,116,85-89,.,.,.,.,1,PS,3,PS,1,PS,111,85-89,12,GE50,61,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000601585,Brindlee Mt High Sch,76,85-89,.,.,.,.,1,PS,1,PS,1,PS,73,90-94,9,GE50,37,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100007,Hoover City,010000700251,Hoover High Sch,643,94,.,.,52,GE90,146,90-94,35,80-89,13,GE50,397,96,37,70-79,129,85-89,5,PS,30AUG15,29AUG15
ALABAMA,01,0100007,Hoover City,010000700337,Berry Middle Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100007,Hoover City,010000701456,Spain Park High Sch,377,95,.,.,13,GE50,81,90-94,15,GE50,10,GE50,258,GE95,12,GE50,67,85-89,3,PS,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000800495,Discovery Middle Sch,2,PS,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000800831,Bob Jones High Sch,595,98,2,PS,25,GE80,112,GE95,20,GE80,9,GE50,427,98,3,PS,94,GE95,3,PS,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000801798,Liberty Middle Sch,4,PS,.,.,.,.,1,PS,.,.,.,.,3,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000802198,James Clemens High Sch,256,96,.,.,15,GE50,66,90-94,6,GE50,5,PS,164,GE95,13,GE50,47,80-89,4,PS,30AUG15,29AUG15
ALABAMA,01,0100011,Leeds City,010001102096,Leeds High Sch,111,80-84,2,PS,.,.,35,70-79,10,GE50,2,PS,62,80-84,6,LT50,51,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100012,Boaz City,010001200874,Boaz High Sch,134,90-94,.,.,7,GE50,.,.,12,GE50,.,.,115,90-94,6,GE50,61,85-89,6,GE50,30AUG15,29AUG15
ALABAMA,01,0100013,Trussville City,010001301682,Hewitt-Trussville High Sch,374,97,1,PS,8,GE50,32,GE90,4,PS,2,PS,327,97,27,GE80,39,GE90,3,PS,30AUG15,29AUG15
ALABAMA,01,0100030,Alexander City,010003000003,Benjamin Russell High Sch,251,87,.,.,1,PS,88,85-89,6,GE50,1,PS,155,85-89,24,60-79,125,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100060,Andalusia City,010006000007,Andalusia High Sch,119,GE95,.,.,3,PS,36,GE90,1,PS,.,.,79,GE95,4,PS,49,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100090,Anniston City,010009000011,Anniston High Sch,170,75-79,.,.,.,.,160,75-79,3,PS,1,PS,6,LT50,13,GE50,142,75-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100090,Anniston City,010009001725,Anniston Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100100,Arab City,010010000028,Arab High Sch,214,94,4,PS,1,PS,1,PS,5,PS,.,.,203,90-94,20,GE80,45,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100120,Athens City,010012001472,Athens High Sch,219,94,3,PS,4,PS,56,GE90,20,GE80,1,PS,135,90-94,13,GE50,81,90-94,1,PS,30AUG15,29AUG15
ALABAMA,01,0100180,Attalla City,010018000033,Etowah High Sch,214,72,1,PS,.,.,30,60-79,9,GE50,4,PS,170,70-74,19,21-39,134,65-69,.,.,30AUG15,29AUG15
ALABAMA,01,0100185,Saraland City,010018502137,Saraland High Sch,231,90,3,PS,2,PS,47,80-89,7,GE50,.,.,172,90-94,19,60-79,100,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100188,Chickasaw City,010018802194,Chickasaw City High Sch,20,GE80,.,.,.,.,11,GE50,.,.,.,.,9,GE50,3,PS,16,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100189,Satsuma City,010018902195,Satsuma City High School,112,GE95,.,.,.,.,17,GE80,.,.,.,.,95,GE95,6,GE50,42,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100190,Alabaster City,010019001183,Thompson High School,426,97,.,.,4,PS,66,GE95,52,GE90,3,PS,301,98,23,60-79,125,GE95,8,GE50,30AUG15,29AUG15
ALABAMA,01,0100210,Auburn City,010021000036,Auburn High Sch,522,94,2,PS,57,GE90,148,90-94,13,GE50,3,PS,299,GE95,42,60-69,135,85-89,7,GE50,30AUG15,29AUG15
ALABAMA,01,0100210,Auburn City,010021000037,Auburn Jr High Sch,25,LE20,.,.,3,PS,11,LT50,3,PS,.,.,8,LT50,.,.,16,LE20,2,PS,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000045,Billingsley High Sch,42,70-79,.,.,.,.,14,GE50,.,.,.,.,28,60-79,5,PS,28,60-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000046,Marbury Sch,151,85-89,.,.,1,PS,27,60-79,1,PS,.,.,122,85-89,5,PS,61,70-74,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000048,Prattville High Sch,476,86,2,PS,16,GE80,129,80-84,7,GE50,2,PS,320,88,41,50-59,151,75-79,3,PS,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000051,Prattville Primary Sch,2,PS,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000546,Daniel Pratt Elem Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024001408,Autaugaville Sch,22,60-79,.,.,.,.,22,60-79,.,.,.,.,.,.,2,PS,18,60-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024001550,Louise M Smith Dev Ctr,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024002159,Marbury Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027000024,Robertsdale High Sch,322,82,1,PS,1,PS,31,70-79,16,GE80,.,.,273,80-84,20,21-39,130,70-74,3,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027000100,Fairhope High Sch,394,87,1,PS,1,PS,46,70-79,6,GE50,1,PS,339,88,28,40-59,115,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027000641,Gulf Shores High Sch,207,83,1,PS,2,PS,6,GE50,8,GE50,.,.,190,80-84,9,LT50,60,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027001759,Daphne High Sch,311,91,.,.,4,PS,67,90-94,11,GE50,3,PS,226,90-94,13,LT50,74,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027001784,Foley High Sch,460,75,3,PS,.,.,58,60-69,24,GE80,1,PS,374,75,57,60-69,246,70-74,3,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027001810,Baldwin Co High Sch,290,83,6,GE50,1,PS,80,75-79,3,PS,.,.,200,85-89,24,LE20,147,75-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027002073,Spanish Fort High Sch,265,94,2,PS,5,PS,24,GE80,7,GE50,.,.,227,90-94,2,PS,30,GE80,1,PS,30AUG15,29AUG15
ALABAMA,01,0100300,Barbour County,010030000074,Barbour Co High Sch,93,80-84,.,.,.,.,88,80-84,1,PS,.,.,4,PS,19,60-79,92,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0100300,Barbour County,010030001557,Barbour County Middle School,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100330,Bessemer City,010033000087,Jess Lanier High Sch,250,73,.,.,.,.,237,70-74,9,GE50,.,.,4,PS,44,50-59,202,75-79,3,PS,30AUG15,29AUG15
ALABAMA,01,0100360,Bibb County,010036000092,Bibb Co High Sch,145,70-74,.,.,2,PS,55,70-79,3,PS,.,.,85,70-74,20,60-79,88,70-74,1,PS,30AUG15,29AUG15
ALABAMA,01,0100360,Bibb County,010036000099,West Blocton High Sch,104,90-94,.,.,1,PS,13,GE50,3,PS,1,PS,86,90-94,11,GE50,67,90-94,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000141,Huffman High Sch-Magnet,305,90,.,.,2,PS,289,90-94,6,GE50,2,PS,6,LT50,45,80-89,224,85-89,2,PS,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000164,Jackson-Olin High Sch,289,72,.,.,.,.,283,70-74,3,PS,1,PS,2,PS,37,40-49,256,75-79,2,PS,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000165,Parker High Sch,220,79,.,.,.,.,217,75-79,.,.,2,PS,1,PS,28,60-79,194,75-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000176,Ramsay High Sch,121,GE95,.,.,.,.,118,GE95,.,.,.,.,3,PS,.,.,64,GE95,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000192,Wenonah High Sch,219,79,.,.,.,.,217,75-79,.,.,.,.,2,PS,33,70-79,182,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000198,Woodlawn High Sch-Magnet,231,79,.,.,.,.,218,80-84,10,GE50,1,PS,2,PS,43,80-89,209,80-84,7,GE50,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001296,Adolescent Day Treatment,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001446,Martha Gaskins Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001468,George Washington Carver High Sch,275,70,1,PS,2,PS,248,70-74,20,40-59,.,.,4,PS,40,60-69,244,70-74,9,GE50,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001761,Family Court High Sch,7,LT50,.,.,.,.,6,LT50,1,PS,.,.,.,.,.,.,5,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100420,Blount County,010042000203,Appalachian ?Sch,51,70-79,.,.,.,.,.,.,6,GE50,.,.,45,70-79,7,GE50,34,70-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100420,Blount County,010042000206,Cleveland High Sch,69,GE95,.,.,1,PS,1,PS,6,GE50,.,.,61,GE95,7,GE50,32,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100420,Blount County,010042000208,Hayden High Sch,174,90-94,2,PS,.,.,4,PS,1,PS,.,.,167,GE95,18,60-79,52,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100420,Blount County,010042000209,JB Pennington High Sch,118,80-84,2,PS,1,PS,2,PS,17,GE80,.,.,96,75-79,6,GE50,66,75-79,2,PS,30AUG15,29AUG15
ALABAMA,01,0100420,Blount County,010042000210,Locust Fork High Sch,114,85-89,.,.,.,.,2,PS,9,GE50,.,.,103,85-89,10,GE50,51,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100420,Blount County,010042000213,Susan Moore High Sch,99,85-89,.,.,.,.,.,.,24,GE80,1,PS,74,85-89,12,GE50,61,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0100450,Brewton City,010045000216,TR Miller High Sch,76,90-94,1,PS,.,.,31,80-89,.,.,.,.,44,GE90,7,GE50,28,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100480,Bullock County,010048000218,Bullock Co High Sch,127,80-84,.,.,.,.,124,80-84,3,PS,.,.,.,.,13,GE50,107,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0100510,Butler County,010051000226,Greenville High Sch,167,80-84,1,PS,.,.,122,80-84,.,.,.,.,44,80-89,23,40-59,136,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100510,Butler County,010051000229,McKenzie High Sch,36,GE90,.,.,.,.,7,GE50,.,.,.,.,29,GE80,.,.,25,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100510,Butler County,010051002144,Georgiana School,39,GE90,.,.,1,PS,23,GE80,.,.,.,.,15,GE50,7,GE50,30,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054000232,Alexandria High Sch,120,90-94,1,PS,1,PS,15,GE50,2,PS,1,PS,100,90-94,13,GE50,57,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054000240,Ohatchee High Sch,92,90-94,.,.,.,.,8,GE50,.,.,1,PS,83,90-94,2,PS,56,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054000243,Saks High Sch,89,85-89,.,.,.,.,37,80-89,3,PS,.,.,49,80-89,11,GE50,59,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054000247,Weaver High Sch,92,85-89,1,PS,3,PS,20,GE80,.,.,.,.,68,80-84,12,GE50,55,80-89,1,PS,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054000250,White Plains High Sch,95,90-94,1,PS,.,.,9,GE50,1,PS,.,.,84,90-94,4,PS,26,60-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054001488,Pleasant Valley High Sch,82,85-89,.,.,.,.,.,.,.,.,.,.,82,85-89,.,.,38,70-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100540,Calhoun County,010054001489,Wellborn High Sch,76,80-84,.,.,.,.,17,GE80,1,PS,.,.,58,80-89,6,GE50,49,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100600,Chambers County,010060000263,Lafayette High Sch,79,80-84,.,.,.,.,75,80-84,.,.,.,.,4,PS,17,60-79,69,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100600,Chambers County,010060000271,Valley High Sch,204,84,.,.,.,.,97,85-89,3,PS,1,PS,103,80-84,19,60-79,125,75-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100630,Cherokee County,010063000274,Cedar Bluff High Sch,32,GE90,.,.,.,.,2,PS,.,.,.,.,30,GE80,2,PS,16,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100630,Cherokee County,010063000278,Cherokee Co High Sch,116,75-79,5,PS,3,PS,16,GE80,.,.,.,.,92,75-79,16,40-59,60,60-69,.,.,30AUG15,29AUG15
ALABAMA,01,0100630,Cherokee County,010063000279,Gaylesville High Sch,37,70-79,4,PS,.,.,.,.,.,.,.,.,33,70-79,4,PS,23,60-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100630,Cherokee County,010063000282,Sand Rock High Sch,72,85-89,8,GE50,1,PS,.,.,3,PS,.,.,60,80-89,8,GE50,40,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100630,Cherokee County,010063000283,Spring Garden High Sch,49,70-79,2,PS,.,.,.,.,1,PS,.,.,46,70-79,7,GE50,23,60-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100660,Chilton County,010066000261,Isabella High Sch,62,85-89,.,.,.,.,5,PS,3,PS,.,.,54,80-89,9,GE50,37,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100660,Chilton County,010066000262,Jemison High Sch,130,75-79,.,.,1,PS,21,GE80,10,GE50,.,.,98,75-79,8,GE50,80,70-74,.,.,30AUG15,29AUG15
ALABAMA,01,0100660,Chilton County,010066000265,Maplesville High Sch,30,GE80,.,.,.,.,7,GE50,2,PS,.,.,21,GE80,3,PS,15,GE50,1,PS,30AUG15,29AUG15
ALABAMA,01,0100660,Chilton County,010066000270,Thorsby High Sch,71,85-89,.,.,.,.,3,PS,5,PS,.,.,63,80-84,8,GE50,32,80-89,1,PS,30AUG15,29AUG15
ALABAMA,01,0100660,Chilton County,010066000288,Verbena High Sch,34,80-89,.,.,.,.,2,PS,2,PS,.,.,30,GE80,.,.,23,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100660,Chilton County,010066001491,Chilton Co High Sch,229,84,.,.,1,PS,42,80-89,9,GE50,.,.,177,80-84,26,60-79,131,75-79,5,PS,30AUG15,29AUG15
ALABAMA,01,0100690,Choctaw County,010069000291,Choctaw Co High Sch,69,80-84,.,.,.,.,58,GE90,2,PS,.,.,9,LT50,4,PS,52,80-89,1,PS,30AUG15,29AUG15
ALABAMA,01,0100690,Choctaw County,010069000297,Southern Choctaw High Sch,66,80-84,.,.,.,.,38,80-89,.,.,.,.,28,60-79,4,PS,49,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100720,Clarke County,010072000298,Clarke Co High Sch,108,85-89,1,PS,.,.,73,85-89,2,PS,1,PS,31,80-89,11,GE50,83,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100720,Clarke County,010072001493,Jackson High Sch,181,85-89,.,.,.,.,116,90-94,2,PS,1,PS,62,80-84,10,GE50,119,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100750,Clay County,010075002210,Clay County High Sch,129,90-94,.,.,.,.,24,GE80,2,PS,1,PS,102,90-94,12,GE50,58,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100780,Cleburne County,010078000318,Cleburne Co High Sch,113,GE95,.,.,1,PS,8,GE50,5,PS,4,PS,95,GE95,8,GE50,70,GE95,1,PS,30AUG15,29AUG15
ALABAMA,01,0100780,Cleburne County,010078000321,Ranburne High Sch,66,90-94,.,.,.,.,.,.,.,.,.,.,66,90-94,5,PS,39,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100810,Coffee County,010081000323,Kinston Sch,48,GE90,3,PS,.,.,1,PS,.,.,.,.,44,GE90,2,PS,20,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100810,Coffee County,010081000327,Zion Chapel High Sch,65,90-94,1,PS,.,.,1,PS,.,.,.,.,63,90-94,5,PS,24,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100810,Coffee County,010081001494,New Brockton High Sch,58,GE90,2,PS,.,.,12,GE50,1,PS,.,.,43,GE90,2,PS,27,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100840,Colbert County,010084000333,Cherokee High Sch,56,80-89,1,PS,.,.,5,PS,2,PS,1,PS,47,80-89,9,GE50,36,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100840,Colbert County,010084000334,Colbert Co High Sch,92,75-79,1,PS,.,.,19,60-79,3,PS,.,.,69,75-79,10,GE50,58,70-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100840,Colbert County,010084000335,Colbert Heights High Sch,65,70-74,.,.,1,PS,1,PS,.,.,.,.,63,70-74,8,LT50,35,50-59,.,.,30AUG15,29AUG15
ALABAMA,01,0100870,Conecuh County,010087001766,Hillcrest High Sch,130,75-79,.,.,.,.,120,75-79,.,.,.,.,10,LT50,22,40-59,106,70-74,.,.,30AUG15,29AUG15
ALABAMA,01,0100900,Coosa County,010090001749,Central High Sch,78,80-84,.,.,.,.,35,80-89,1,PS,2,PS,40,80-89,9,GE50,50,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100930,Covington County,010093000360,Florala High Sch,30,GE80,.,.,.,.,6,GE50,.,.,.,.,24,GE80,3,PS,18,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100930,Covington County,010093000361,Pleasant Home Sch,38,80-89,.,.,.,.,2,PS,.,.,.,.,36,80-89,2,PS,13,GE50,.,.,30AUG15,29AUG15
ALABAMA,01,0100930,Covington County,010093000362,Red Level High Sch,42,80-89,.,.,.,.,12,GE50,.,.,2,PS,28,GE80,3,PS,29,60-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100930,Covington County,010093000363,Straughn High Sch,117,90-94,.,.,.,.,3,PS,1,PS,.,.,113,90-94,7,GE50,60,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100960,Crenshaw County,010096000365,Brantley High Sch,44,GE90,.,.,.,.,15,GE50,.,.,.,.,29,GE80,6,GE50,21,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100960,Crenshaw County,010096000367,Highland Home High Sch,66,90-94,1,PS,.,.,20,GE80,.,.,.,.,45,GE90,5,PS,44,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100960,Crenshaw County,010096000368,Luverne High Sch,68,GE95,.,.,1,PS,32,GE90,1,PS,.,.,34,GE90,9,GE50,47,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100990,Cullman City,010099000370,Cullman High Sch,208,95,.,.,2,PS,1,PS,13,GE50,.,.,192,GE95,15,GE50,46,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000374,Cold Springs High Sch,64,80-84,.,.,.,.,.,.,1,PS,.,.,63,80-84,4,PS,27,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000377,Fairview High Sch,102,90-94,.,.,.,.,1,PS,6,GE50,1,PS,94,90-94,8,GE50,63,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000379,Good Hope High Sch,96,90-94,.,.,.,.,.,.,3,PS,.,.,93,90-94,12,GE50,44,80-89,1,PS,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000380,Hanceville High Sch,103,85-89,.,.,.,.,14,GE50,7,GE50,1,PS,81,85-89,12,GE50,64,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000381,Holly Pond High Sch,86,85-89,.,.,.,.,.,.,2,PS,.,.,84,85-89,11,GE50,39,80-89,1,PS,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000385,Vinemont High Sch,88,80-84,.,.,.,.,.,.,2,PS,.,.,86,80-84,7,LT50,45,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102000387,West Point High Sch,129,85-89,1,PS,.,.,1,PS,6,GE50,.,.,121,80-84,8,GE50,61,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0101020,Cullman County,010102001497,Cullman Child Dev Ctr,6,LT50,.,.,.,.,.,.,.,.,.,.,6,LT50,6,LT50,2,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0101050,Dale County,010105000388,Ariton Sch,59,80-89,1,PS,.,.,7,GE50,1,PS,1,PS,49,80-89,1,PS,26,GE80,1,PS,30AUG15,29AUG15
ALABAMA,01,0101050,Dale County,010105000389,Dale Co High Sch,98,75-79,.,.,.,.,29,60-79,1,PS,.,.,68,75-79,9,GE50,62,70-74,.,.,30AUG15,29AUG15
ALABAMA,01,0101050,Dale County,010105000390,George W Long High Sch,50,GE90,.,.,.,.,1,PS,1,PS,.,.,48,GE90,3,PS,17,GE80,1,PS,30AUG15,29AUG15
ALABAMA,01,0101080,Daleville City,010108000394,Daleville High Sch,93,90-94,.,.,2,PS,42,GE90,7,GE50,.,.,42,80-89,6,GE50,55,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0101110,Dallas County,010111000397,Dallas Co High Sch,144,90-94,.,.,.,.,80,GE95,1,PS,.,.,63,90-94,10,GE50,100,90-94,.,.,30AUG15,29AUG15
ALABAMA,01,0101110,Dallas County,010111000402,Keith Middle-High Sch,42,GE90,.,.,.,.,42,GE90,.,.,.,.,.,.,7,GE50,37,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0101110,Dallas County,010111000406,Southside High Sch,99,90-94,.,.,.,.,99,90-94,.,.,.,.,.,.,9,GE50,93,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000411,Collinsville High Sch,37,GE90,4,PS,.,.,4,PS,14,GE50,.,.,15,GE50,2,PS,30,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000415,Fyffe High Sch,73,85-89,14,GE50,.,.,.,.,1,PS,.,.,58,GE90,6,LT50,36,80-89,1,PS,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000416,Geraldine Sch,98,85-89,14,GE50,.,.,1,PS,12,GE50,.,.,71,85-89,11,GE50,66,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000419,Ider Sch,58,80-89,8,GE50,.,.,.,.,1,PS,.,.,49,80-89,11,GE50,35,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000422,Plainview Sch,61,GE95,9,GE50,.,.,1,PS,2,PS,.,.,49,GE90,6,GE50,29,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000424,Sylvania Sch,104,85-89,15,GE50,.,.,.,.,13,GE50,.,.,76,85-89,12,GE50,67,85-89,4,PS,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114000425,Valley Head High Sch,51,GE90,5,PS,.,.,.,.,13,GE50,.,.,33,GE90,6,GE50,38,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0101140,Dekalb County,010114001860,Crossville High Sch,121,90-94,12,GE50,.,.,.,.,53,GE90,.,.,56,80-89,14,GE50,91,90-94,18,GE80,30AUG15,29AUG15
ALABAMA,01,0101170,Decatur City,010117000426,Austin High Sch,338,87,2,PS,8,GE50,107,80-84,58,80-89,10,GE50,153,90-94,28,GE80,172,80-84,19,60-79,30AUG15,29AUG15
ALABAMA,01,0101170,Decatur City,010117000429,Decatur High Sch,271,86,4,PS,4,PS,93,80-84,37,70-79,1,PS,132,90-94,10,GE50,151,80-84,13,LT50,30AUG15,29AUG15
ALABAMA,01,0101170,Decatur City,010117002175,Decatur High Dev,8,LT50,.,.,.,.,3,PS,.,.,.,.,5,PS,8,LT50,8,LT50,.,.,30AUG15,29AUG15
ALABAMA,01,0101200,Demopolis City,010120000148,Demopolis High Sch,173,90-94,.,.,.,.,88,GE95,5,PS,.,.,80,85-89,15,GE50,93,90-94,2,PS,30AUG15,29AUG15
ALABAMA,01,0101230,Dothan City,010123000445,Dothan High Sch,279,92,1,PS,3,PS,169,90-94,7,GE50,2,PS,97,90-94,31,80-89,198,90-94,.,.,30AUG15,29AUG15
ALABAMA,01,0101230,Dothan City,010123001500,Honeysuckle Middle Sch,4,PS,.,.,.,.,4,PS,.,.,.,.,.,.,.,.,1,PS,.,.,30AUG15,29AUG15
